"id";"sample_name";"project";"analysis";"run";"gender";"created";"no_mismatches_X"
60;"AA16-61554-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
61;"AA16-61555-OF01";"24315";"1.0 - 24315";"24315";"XX";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
62;"AA16-61556-OF01";"24315";"1.0 - 24315";"24315";"XX";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
63;"AA16-61557-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
64;"AA16-61558-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
65;"AA16-61559-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
66;"AA16-61560-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
67;"AA16-61561-OF01";"24315";"1.0 - 24315";"24315";"XX";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
68;"AA16-61562-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
69;"AA16-61563-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
70;"AA16-61564-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
71;"AA16-61565-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
72;"AA16-61566-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
73;"AA16-61567-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
74;"AA16-61568-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
75;"AA16-61569-OF01";"24315";"1.0 - 24315";"24315";"XX";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
76;"AA16-61570-OF01";"24315";"1.0 - 24315";"24315";"XX";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
77;"AA16-61571-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
78;"AA16-61572-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
79;"AA16-61573-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
80;"AA16-61574-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
81;"AA16-61575-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
82;"AA16-61576-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
83;"AA16-61577-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
84;"AA16-61579-OF01";"24315";"1.0 - 24315";"24315";"XX";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
85;"AA16-61580-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
86;"AA16-61581-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
87;"AA16-61582-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
88;"AA16-61583-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
89;"AA16-61584-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
90;"AA16-61586-OF01";"24315";"1.0 - 24315";"24315";"XX";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
91;"AA16-61587-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
92;"AA16-61588-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
93;"AA16-61590-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
94;"AA16-61591-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
95;"AA16-65634-OF01";"24717";"1.0 - 24717";"24717";"XX";"13 Nov 2017 at 06:27AM by pavla.coufalova@pcr.cz";0
96;"AA16-65635-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:27AM by pavla.coufalova@pcr.cz";0
97;"AA16-65637-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:27AM by pavla.coufalova@pcr.cz";0
98;"AA16-65638-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:27AM by pavla.coufalova@pcr.cz";0
99;"AA16-65639-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:27AM by pavla.coufalova@pcr.cz";0
100;"AA16-65640-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:27AM by pavla.coufalova@pcr.cz";0
101;"AA16-65641-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:27AM by pavla.coufalova@pcr.cz";0
102;"AA16-65642-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:27AM by pavla.coufalova@pcr.cz";0
103;"AA16-65643-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:27AM by pavla.coufalova@pcr.cz";0
104;"AA16-65644-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:27AM by pavla.coufalova@pcr.cz";0
105;"AA16-65645-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:27AM by pavla.coufalova@pcr.cz";0
106;"AA16-65646-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:27AM by pavla.coufalova@pcr.cz";0
107;"AA16-65647-OF01";"24717";"1.0 - 24717";"24717";"XX";"13 Nov 2017 at 06:27AM by pavla.coufalova@pcr.cz";0
108;"AA16-65648-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:27AM by pavla.coufalova@pcr.cz";0
109;"AA16-65649-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:27AM by pavla.coufalova@pcr.cz";0
110;"AA16-65650-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:27AM by pavla.coufalova@pcr.cz";0
111;"AA16-65651-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:27AM by pavla.coufalova@pcr.cz";0
112;"AA16-65652-OF01";"24717";"1.0 - 24717";"24717";"XX";"13 Nov 2017 at 06:27AM by pavla.coufalova@pcr.cz";0
113;"AA16-65653-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:27AM by pavla.coufalova@pcr.cz";0
114;"AA16-65654-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:27AM by pavla.coufalova@pcr.cz";0
115;"AA16-65655-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:27AM by pavla.coufalova@pcr.cz";0
116;"AA16-65656-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:27AM by pavla.coufalova@pcr.cz";0
117;"AA16-65657-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:27AM by pavla.coufalova@pcr.cz";0
118;"AA16-65658-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:27AM by pavla.coufalova@pcr.cz";0
119;"AA16-65659-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
120;"AA16-65660-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
121;"AA16-65661-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
122;"AA16-65662-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
123;"AA16-65663-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
124;"AA16-65664-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
125;"AA16-65665-OF01";"24717";"1.0 - 24717";"24717";"XX";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
126;"AA16-65666-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
127;"AA16-65667-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
128;"AA16-65668-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
129;"AA16-65669-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
130;"AA16-65670-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
131;"AA16-65671-OF01";"24717";"1.0 - 24717";"24717";"XX";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
132;"AA16-65672-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
133;"AA16-65673-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
134;"AA16-65674-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
135;"AA16-65675-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
136;"AA16-65676-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
137;"AA16-65677-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
138;"AA16-65678-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
139;"AA16-65679-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
140;"AA16-65680-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
141;"AA16-65681-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
142;"AA16-65682-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
143;"AA16-65683-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
144;"AA16-65684-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
145;"AA16-65685-OF01";"24717";"1.0 - 24717";"24717";"XX";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
146;"AA16-65686-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
147;"AA16-65687-OF01";"24717";"1.0 - 24717";"24717";"XX";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
148;"AA16-65688-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
149;"AA16-65689-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
150;"AA16-65690-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
151;"AA16-65691-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
152;"AA16-65692-OF01";"24717";"1.0 - 24717";"24717";"XX";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
153;"AA16-65693-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
154;"AA16-65694-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
155;"AA16-65695-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
156;"AA16-65696-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
157;"AA16-65697-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
158;"AA16-65698-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
159;"AA16-65699-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
160;"AA16-65700-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
161;"AA16-65701-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
162;"AA16-65702-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
163;"AA16-65703-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
164;"AA16-65704-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
165;"AA16-65705-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
166;"AA16-65706-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
167;"AA16-65707-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
168;"AA16-65708-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
169;"AA16-65709-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
170;"AA16-65711-OF01";"24717";"1.0 - 24717";"24717";"XX";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
171;"AA16-65712-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
172;"AA16-65713-OF01";"24717";"1.0 - 24717";"24717";"XX";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
173;"AA16-65714-OF01";"24717";"1.0 - 24717";"24717";"XY";"13 Nov 2017 at 06:28AM by pavla.coufalova@pcr.cz";0
174;"AA07-01666-OF61";"25311";"1.0 - 25311";"25311";"XY";"13 Nov 2017 at 06:09AM by pavla.coufalova@pcr.cz";0
175;"AA07-05965-CO62";"25311";"1.0 - 25311";"25311";"XY";"13 Nov 2017 at 06:09AM by pavla.coufalova@pcr.cz";0
176;"AA07-06027-CO50";"25311";"1.0 - 25311";"25311";"XY";"13 Nov 2017 at 06:09AM by pavla.coufalova@pcr.cz";0
177;"AA07-06027-CO65";"25311";"1.0 - 25311";"25311";"XY";"13 Nov 2017 at 06:09AM by pavla.coufalova@pcr.cz";0
178;"AA07-06027-CO75";"25311";"1.0 - 25311";"25311";"XY";"13 Nov 2017 at 06:09AM by pavla.coufalova@pcr.cz";0
179;"AA07-06028-CO69";"25311";"1.0 - 25311";"25311";"XY";"13 Nov 2017 at 06:09AM by pavla.coufalova@pcr.cz";0
180;"AA07-06028-CO79";"25311";"1.0 - 25311";"25311";"XY";"13 Nov 2017 at 06:09AM by pavla.coufalova@pcr.cz";0
181;"AA07-06028-CO84";"25311";"1.0 - 25311";"25311";"XY";"13 Nov 2017 at 06:09AM by pavla.coufalova@pcr.cz";0
182;"AA07-06029-CO05";"25311";"1.0 - 25311";"25311";"XY";"13 Nov 2017 at 06:09AM by pavla.coufalova@pcr.cz";0
183;"AA07-06029-CO20";"25311";"1.0 - 25311";"25311";"XY";"13 Nov 2017 at 06:09AM by pavla.coufalova@pcr.cz";0
184;"AA07-06029-CO24";"25311";"1.0 - 25311";"25311";"XY";"13 Nov 2017 at 06:09AM by pavla.coufalova@pcr.cz";0
185;"AA07-06029-CO52";"25311";"1.0 - 25311";"25311";"XY";"13 Nov 2017 at 06:09AM by pavla.coufalova@pcr.cz";0
186;"AA07-06029-CO57";"25311";"1.0 - 25311";"25311";"XY";"13 Nov 2017 at 06:09AM by pavla.coufalova@pcr.cz";0
187;"AA07-06029-CO59";"25311";"1.0 - 25311";"25311";"XY";"13 Nov 2017 at 06:09AM by pavla.coufalova@pcr.cz";0
188;"AA07-06029-CO71";"25311";"1.0 - 25311";"25311";"XY";"13 Nov 2017 at 06:09AM by pavla.coufalova@pcr.cz";0
189;"AA07-06029-CO85";"25311";"1.0 - 25311";"25311";"XY";"13 Nov 2017 at 06:09AM by pavla.coufalova@pcr.cz";0
190;"AA07-06029-CO89";"25311";"1.0 - 25311";"25311";"XY";"13 Nov 2017 at 06:09AM by pavla.coufalova@pcr.cz";0
191;"AA07-06030-CO15";"25311";"1.0 - 25311";"25311";"XY";"13 Nov 2017 at 06:09AM by pavla.coufalova@pcr.cz";0
192;"AA07-06030-CO36";"25311";"1.0 - 25311";"25311";"XY";"13 Nov 2017 at 06:09AM by pavla.coufalova@pcr.cz";0
